LOC_00000343-mRNA-1	sp|Q8N539|FBCD1_HUMAN	*-*	Fibrinogen C domain-containing protein 1		GO:0005515, GO:0005615, GO:0008061, GO:0016020, GO:0046872, GO:0062023
LOC_00000209-mRNA-1	tr|A0A8D8HZG0|A0A8D8HZG0_CULPI	***	Elongation factor 2		GO:0000166, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006412, GO:0006414
LOC_00000209-mRNA-2	tr|A0A8D8HZG0|A0A8D8HZG0_CULPI	***	Elongation factor 2		GO:0000166, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006412, GO:0006414
LOC_00000209-mRNA-3	tr|A0A8D8HZG0|A0A8D8HZG0_CULPI	***	Elongation factor 2		GO:0000166, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006412, GO:0006414
LOC_00000209-mRNA-4	tr|A0A8D8HZG0|A0A8D8HZG0_CULPI	***	Elongation factor 2		GO:0000166, GO:0003746, GO:0003924, GO:0005525, GO:0005737, GO:0006412, GO:0006414
LOC_00000239-mRNA-1	tr|A0A182H9P0|A0A182H9P0_AEDAL	***	Peptidase S1 domain-containing protein		GO:0004252, GO:0006508, GO:0008233, GO:0008236, GO:0016787
LOC_00000475-mRNA-2	tr|A0A182G1D0|A0A182G1D0_AEDAL	***	Guanine nucleotide exchange factor		GO:0005085, GO:0030027
LOC_00000475-mRNA-1	tr|A0A182HBC6|A0A182HBC6_AEDAL	***	Guanine nucleotide exchange factor		GO:0005085, GO:0030027
LOC_00000475-mRNA-4	tr|A0A182JTI5|A0A182JTI5_9DIPT	***	Guanine nucleotide exchange factor		GO:0005085, GO:0030027
LOC_00000475-mRNA-3	tr|A0A182HBC6|A0A182HBC6_AEDAL	***	Guanine nucleotide exchange factor		GO:0005085, GO:0030027
LOC_00000475-mRNA-5	tr|A0A182HBC6|A0A182HBC6_AEDAL	***	Guanine nucleotide exchange factor		GO:0005085, GO:0030027
LOC_00000187-mRNA-2	tr|A0A4Y0BIM2|A0A4Y0BIM2_ANOFN	***	Calponin-homology (CH) domain-containing protein		GO:0005524, GO:0016887, GO:0022008
LOC_00000187-mRNA-1	tr|A0A8D8F4W8|A0A8D8F4W8_CULPI	*-*	Protein sickie		GO:0005524, GO:0016887, GO:0022008
LOC_00000393-mRNA-2	tr|B0X3S3|B0X3S3_CULQU	***	Zinc finger protein		GO:0005634, GO:0008270
LOC_00000393-mRNA-1	tr|B0X3S3|B0X3S3_CULQU	***	Zinc finger protein		GO:0005634, GO:0008270
LOC_00000527-mRNA-1	sp|Q9VM21|GUDU_DROME	***	Armadillo repeat-containing protein gudu		GO:0003674, GO:0007283, GO:0007291, GO:0009653, GO:0030154
LOC_00000233-mRNA-3	tr|A0A1S4HFH3|A0A1S4HFH3_ANOGA	***	ATP-binding cassette transporter (ABC transporter) family G member 18		GO:0000166, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:0055085, GO:0140359
LOC_00000233-mRNA-4	tr|A0A1S4HFH3|A0A1S4HFH3_ANOGA	***	ATP-binding cassette transporter (ABC transporter) family G member 18		GO:0000166, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:0055085, GO:0140359
LOC_00000233-mRNA-1	tr|A0A1S4HFH3|A0A1S4HFH3_ANOGA	***	ATP-binding cassette transporter (ABC transporter) family G member 18		GO:0000166, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:0055085, GO:0140359
LOC_00000233-mRNA-2	tr|A0A1S4HFH3|A0A1S4HFH3_ANOGA	***	ATP-binding cassette transporter (ABC transporter) family G member 18		GO:0000166, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:0055085, GO:0140359
LOC_00000233-mRNA-5	tr|A0A1S4HFH3|A0A1S4HFH3_ANOGA	***	ATP-binding cassette transporter (ABC transporter) family G member 18		GO:0000166, GO:0005524, GO:0005886, GO:0016020, GO:0016887, GO:0042626, GO:0055085, GO:0140359
LOC_00000177-mRNA-2	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000177-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000465-mRNA-1	tr|A0A8D8AK31|A0A8D8AK31_CULPI	***	Amino acid transporter		GO:0015293, GO:0016020, GO:1902475
LOC_00000465-mRNA-2	tr|A0A8D8AK31|A0A8D8AK31_CULPI	***	Amino acid transporter		GO:0015293, GO:0016020, GO:1902475
LOC_00000229-mRNA-1	tr|B0X144|B0X144_CULQU	***	Abc transporter		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000229-mRNA-2	tr|A0A6E8VZZ5|A0A6E8VZZ5_ANOCL	***	ABC transporter domain-containing protein		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000507-mRNA-1	tr|A0A1S4K9L8|A0A1S4K9L8_CULQU	***	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000517-mRNA-1	tr|A0A182GTF2|A0A182GTF2_AEDAL	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000298-mRNA-1	tr|A0A182QSR2|A0A182QSR2_9DIPT	***	Amino acid permease/ SLC12A domain-containing protein		GO:0016020
LOC_00000291-mRNA-1	tr|B0WBK9|B0WBK9_CULQU	***	Chitin-binding type-2 domain-containing protein		GO:0005576, GO:0008061
LOC_00000544-mRNA-1	tr|A0A1S4JZ80|A0A1S4JZ80_CULQU	***	C2H2-type domain-containing protein		GO:0043229, GO:0046872
LOC_00000365-mRNA-2	tr|A0A182H427|A0A182H427_AEDAL	***	RNA-directed DNA polymerase		GO:0003676, GO:0015074, GO:0042575, GO:0071897
LOC_00000365-mRNA-1	tr|A0A8D8I3A6|A0A8D8I3A6_CULPI	***	RNA-directed DNA polymerase		GO:0003676, GO:0015074, GO:0090304
LOC_00000421-mRNA-1	tr|A0A8D8HNK6|A0A8D8HNK6_CULPI	***	Zinc finger protein 26		GO:0005634, GO:0008270, GO:0046872
LOC_00000286-mRNA-1	tr|B0WBL6|B0WBL6_CULQU	***	Nidogen		GO:0005509, GO:0005604, GO:0007155, GO:0007160, GO:0016020
LOC_00000216-mRNA-1	tr|A0A182RGA5|A0A182RGA5_ANOFN	***	VWFC domain-containing protein		GO:0016020
LOC_00000339-mRNA-1	tr|A0A1S4EWA9|A0A1S4EWA9_AEDAE	***	Protein Wnt		GO:0005102, GO:0005576, GO:0007165, GO:0007267, GO:0016055, GO:0048699
LOC_00000342-mRNA-1	sp|Q9VCW0|CCAP_DROME	*-*	Cardioactive peptide		GO:0005179, GO:0005576, GO:0005615, GO:0007218, GO:0010460, GO:0071855
LOC_00000163-mRNA-1	tr|B0WAY7|B0WAY7_CULQU	***	Chitin-binding type-2 domain-containing protein		GO:0005576, GO:0008061
LOC_00000163-mRNA-2	tr|B0WAY7|B0WAY7_CULQU	***	Chitin-binding type-2 domain-containing protein		GO:0005576, GO:0008061
LOC_00000416-mRNA-1	tr|A0A8D8FTF6|A0A8D8FTF6_CULPI	***	Conserved oligomeric Golgi complex subunit 5		GO:0005794, GO:0006891, GO:0016020, GO:0017119
LOC_00000416-mRNA-2	tr|A0A8D8FTF6|A0A8D8FTF6_CULPI	***	Conserved oligomeric Golgi complex subunit 5		GO:0005794, GO:0006891, GO:0016020, GO:0017119
LOC_00000370-mRNA-1	tr|A0A8D8IWT7|A0A8D8IWT7_CULPI	***	RNA helicase		GO:0000166, GO:0003676, GO:0003724, GO:0004386, GO:0005524, GO:0016787, GO:0043229
LOC_00000370-mRNA-2	tr|B0X3U8|B0X3U8_CULQU	***	RNA helicase		GO:0000166, GO:0003676, GO:0003724, GO:0004386, GO:0005524, GO:0016787, GO:0043229
LOC_00000157-mRNA-13	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-14	tr|A0A8D8I3V5|A0A8D8I3V5_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-10	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-11	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000157-mRNA-12	tr|A0A8D8I3A8|A0A8D8I3A8_CULPI	***	Nuclear hormone receptor FTZ-F1 beta		GO:0003677, GO:0003700, GO:0004879, GO:0005634, GO:0006355, GO:0008270, GO:0030522, GO:0043565, GO:0046872
LOC_00000488-mRNA-2	tr|A0A2M4A9B2|A0A2M4A9B2_9DIPT	***	Hybrid signal transduction histidine kinase l		
LOC_00000488-mRNA-1	sp|Q14BJ1|FA89A_MOUSE	*-*	Protein FAM89A		GO:0003674, GO:0005575, GO:0008150
LOC_00000488-mRNA-4	sp|Q14BJ1|FA89A_MOUSE	*-*	Protein FAM89A		GO:0003674, GO:0005575, GO:0008150
LOC_00000488-mRNA-3	tr|A0A8D8AEW1|A0A8D8AEW1_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000191-mRNA-1	tr|B0W277|B0W277_CULQU	***	Serine protease 27		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000191-mRNA-2	tr|B0W279|B0W279_CULQU	***	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000221-mRNA-1	tr|A0A8D8CDD9|A0A8D8CDD9_CULPI	***	Guanine nucleotide-binding protein subunit alpha homolog		GO:0000166, GO:0001664, GO:0003924, GO:0005525, GO:0007165, GO:0007186, GO:0007266, GO:0019001, GO:0031683, GO:0050896
LOC_00000258-mRNA-1	tr|A0A8D8BLH3|A0A8D8BLH3_CULPI	***	Round spermatid basic protein 1-like protein		GO:0005634, GO:0016491, GO:0046872, GO:0051213
LOC_00000258-mRNA-2	tr|A0A8D8BLH3|A0A8D8BLH3_CULPI	***	Round spermatid basic protein 1-like protein		GO:0005634, GO:0016491, GO:0046872, GO:0051213
LOC_00000214-mRNA-1	tr|A0A8D8C3K2|A0A8D8C3K2_CULPI	***	Sodium/hydrogen exchanger		GO:0000139, GO:0005794, GO:0006811, GO:0006812, GO:0006814, GO:0006885, GO:0015297, GO:0015385, GO:0016020, GO:0035725, GO:0055085, GO:1902600
LOC_00000165-mRNA-1			Unknown protein		
LOC_00000170-mRNA-1	tr|B0WAX5|B0WAX5_CULQU	***	Ionotropic glutamate receptor L-glutamate and glycine-binding domain-containing protein		GO:0016020
LOC_00000516-mRNA-2	tr|D3KSC4|D3KSC4_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000516-mRNA-1	tr|D3KSC4|D3KSC4_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000423-mRNA-1	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000423-mRNA-2	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000423-mRNA-3	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000423-mRNA-4	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000423-mRNA-5	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000423-mRNA-6	tr|B0X5Y7|B0X5Y7_CULQU	***	DUF1279 domain-containing protein		GO:0016020
LOC_00000446-mRNA-1	tr|A0A8D8CUP6|A0A8D8CUP6_CULPI	***	(northern house mosquito) hypothetical protein		GO:0005634, GO:0008270, GO:0046872
LOC_00000158-mRNA-1	tr|A0A8D8F5Z7|A0A8D8F5Z7_CULPI	***	Basement membrane-specific heparan sulfate proteoglycan core protein		GO:0005886
LOC_00000193-mRNA-1	tr|B0W279|B0W279_CULQU	*-*	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000279-mRNA-1	tr|B0WBM7|B0WBM7_CULQU	*-*	Zinc finger protein		GO:0046872
LOC_00000418-mRNA-1	tr|A0A6R5IJ99|A0A6R5IJ99_AEDAE	***	Anaphase-promoting complex subunit 4-like WD40 domain-containing protein		GO:0010997, GO:0043229, GO:0097027
LOC_00000539-mRNA-1	tr|A0A8D8F4Z9|A0A8D8F4Z9_CULPI	*-*	Nuclear pore complex protein Nup214		GO:0005634
LOC_00000539-mRNA-3	tr|A0A8D8F4Z9|A0A8D8F4Z9_CULPI	*-*	Nuclear pore complex protein Nup214		GO:0005634
LOC_00000539-mRNA-2	tr|A0A8D8F4Z9|A0A8D8F4Z9_CULPI	*-*	Nuclear pore complex protein Nup214		GO:0005634
LOC_00000340-mRNA-1	tr|B0WGM7|B0WGM7_CULQU	***	non-specific serine/threonine protein kinase		GO:0000166, GO:0003774, GO:0003779, GO:0004672, GO:0004674, GO:0004713, GO:0005524, GO:0005737, GO:0005856, GO:0007601, GO:0016301, GO:0016310, GO:0016459, GO:0016740, GO:0050896
LOC_00000335-mRNA-8	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-9	tr|A0A1Q3FQP1|A0A1Q3FQP1_CULTA	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015291, GO:0015698, GO:0016020, GO:0016323, GO:0016328, GO:0055085, GO:0098656
LOC_00000335-mRNA-6	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-7	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-4	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-5	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-2	tr|A0A8D8C8G3|A0A8D8C8G3_CULPI	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015291, GO:0015698, GO:0016020, GO:0016323, GO:0016328, GO:0055085, GO:0098656
LOC_00000335-mRNA-3	tr|A0A1S4JF98|A0A1S4JF98_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000335-mRNA-1	tr|A0A1S4JH65|A0A1S4JH65_CULQU	***	Anion exchange protein		GO:0005452, GO:0005886, GO:0006811, GO:0006820, GO:0008509, GO:0015698, GO:0016020, GO:0098656
LOC_00000261-mRNA-1	tr|A0A8D8BXU4|A0A8D8BXU4_CULPI	***	Transport and Golgi organization protein 1		GO:0016020
LOC_00000395-mRNA-1	tr|A0A8D8I305|A0A8D8I305_CULPI	***	Zinc finger protein 37 homolog		GO:0005634, GO:0008270, GO:0046872
LOC_00000395-mRNA-2	tr|A0A8D8L335|A0A8D8L335_CULPI	***	Zinc finger protein 37 homolog		GO:0005634, GO:0008270, GO:0046872
LOC_00000284-mRNA-2	tr|Q1HQW1|Q1HQW1_AEDAE	***	Farnesoic acid o-methyltransferase-like protein		GO:0008168, GO:0016740, GO:0032259
LOC_00000284-mRNA-1	tr|Q1HQW1|Q1HQW1_AEDAE	***	Farnesoic acid o-methyltransferase-like protein		GO:0008168, GO:0016740, GO:0032259
LOC_00000463-mRNA-2	tr|A0A8D8NVB4|A0A8D8NVB4_CULPI	***	MKRN2 opposite strand protein		
LOC_00000463-mRNA-3	tr|A0A8D8NVB4|A0A8D8NVB4_CULPI	***	MKRN2 opposite strand protein		
LOC_00000463-mRNA-1	tr|A0A8D8NVB4|A0A8D8NVB4_CULPI	***	MKRN2 opposite strand protein		
LOC_00000463-mRNA-4	tr|A0A8D8NVB4|A0A8D8NVB4_CULPI	***	MKRN2 opposite strand protein		
LOC_00000218-mRNA-3	tr|A0A8D8CXN7|A0A8D8CXN7_CULPI	***	Protein rhomboid		GO:0004252, GO:0016020
LOC_00000218-mRNA-2	tr|A0A8D8CXN7|A0A8D8CXN7_CULPI	***	Protein rhomboid		GO:0004252, GO:0016020
LOC_00000218-mRNA-1	tr|A0A8D8CXN7|A0A8D8CXN7_CULPI	***	Protein rhomboid		GO:0004252, GO:0016020
LOC_00000502-mRNA-1	tr|B0XJ41|B0XJ41_CULQU	***	Serine protease		GO:0004252, GO:0006508, GO:0008233, GO:0016787
LOC_00000225-mRNA-10	tr|B0W264|B0W264_CULQU	***	Stress-activated protein kinase JNK		GO:0000165, GO:0000166, GO:0004672, GO:0004674, GO:0004707, GO:0005524, GO:0005737, GO:0007154, GO:0009605, GO:0016301, GO:0016310, GO:0016740, GO:0033554, GO:0106310
LOC_00000509-mRNA-1	tr|B0XCB0|B0XCB0_CULQU	***	Cytochrome P450		GO:0004497, GO:0005506, GO:0005789, GO:0016020, GO:0016491, GO:0016705, GO:0020037, GO:0046872, GO:0050896
LOC_00000188-mRNA-1	tr|A0A8D8MMP4|A0A8D8MMP4_CULPI	***	(northern house mosquito) hypothetical protein		
LOC_00000300-mRNA-5	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-4	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-3	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-2	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-9	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-8	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-7	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000300-mRNA-6	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000274-mRNA-2	tr|B0WBM8|B0WBM8_CULQU	***	ER membrane protein complex subunit 3		GO:0016020
LOC_00000300-mRNA-1	tr|A0A8D8GD78|A0A8D8GD78_CULPI	***	Sodium channel protein Nach		GO:0005272, GO:0006811, GO:0006814, GO:0016020, GO:0034220, GO:0035725
LOC_00000274-mRNA-1	tr|B0WBM8|B0WBM8_CULQU	***	ER membrane protein complex subunit 3		GO:0016020
LOC_00000382-mRNA-1	sp|E1C1U1|RLBP1_CHICK	***	Retinaldehyde-binding protein 1		GO:0005502, GO:0005515, GO:0005654, GO:0005737, GO:0005813, GO:0005829, GO:0007601, GO:0019841, GO:0050896, GO:1902936
LOC_00000382-mRNA-2	sp|Q5RCA6|CLVS1_PONAB	***	Clavesin-1		GO:0005768, GO:0005794, GO:0005802, GO:0007040, GO:0008289, GO:0016020, GO:0030136, GO:0031410, GO:0031901, GO:0080025
LOC_00000382-mRNA-3	sp|E1C1U1|RLBP1_CHICK	***	Retinaldehyde-binding protein 1		GO:0005502, GO:0005515, GO:0005654, GO:0005737, GO:0005813, GO:0005829, GO:0007601, GO:0019841, GO:0050896, GO:1902936
LOC_00000382-mRNA-4	sp|Q5RCA6|CLVS1_PONAB	***	Clavesin-1		GO:0005768, GO:0005794, GO:0005802, GO:0007040, GO:0008289, GO:0016020, GO:0030136, GO:0031410, GO:0031901, GO:0080025
LOC_00000486-mRNA-7	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-6	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-5	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-4	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-3	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-2	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000486-mRNA-1	tr|B0W4Z2|B0W4Z2_CULQU	***	Zinc finger protein 58		GO:0046872
LOC_00000198-mRNA-2	tr|B0W290|B0W290_CULQU	***	Daxx histone-binding domain-containing protein		GO:0005634, GO:0005694, GO:0005737, GO:0006355, GO:0006915, GO:0042393, GO:0043229
LOC_00000198-mRNA-1	tr|B0W290|B0W290_CULQU	***	Daxx histone-binding domain-containing protein		GO:0005634, GO:0005694, GO:0005737, GO:0006355, GO:0006915, GO:0042393, GO:0043229
LOC_00000198-mRNA-3	tr|B0W290|B0W290_CULQU	***	Daxx histone-binding domain-containing protein		GO:0005634, GO:0005694, GO:0005737, GO:0006355, GO:0006915, GO:0042393, GO:0043229
LOC_00000542-mRNA-1	tr|A0A182GWE7|A0A182GWE7_AEDAL	***	RNA-directed DNA polymerase		GO:0003676, GO:0015074, GO:0042575, GO:0071897
LOC_00000244-mRNA-1	tr|A0A9Q0S5J5|A0A9Q0S5J5_9DIPT	*--	Epidermal growth factor-like protein		GO:0016020
LOC_00000195-mRNA-1	sp|Q8N6D5|ANR29_HUMAN	*-*	Ankyrin repeat domain-containing protein 29		GO:0005515
LOC_00000372-mRNA-1	tr|A0A1Y9IVB8|A0A1Y9IVB8_9DIPT	***	Hemolymph juvenile hormone binding protein		
LOC_00000372-mRNA-2	tr|A0A1Y9IUX6|A0A1Y9IUX6_9DIPT	***	Hemolymph juvenile hormone binding protein		
LOC_00000372-mRNA-3	tr|A0A182P2S5|A0A182P2S5_9DIPT	***	Hemolymph juvenile hormone binding protein		GO:0016020
LOC_00000309-mRNA-1	tr|A6KVG5|A6KVG5_AEDAE	***	AAEL006602-PA		
LOC_00000493-mRNA-1	tr|A0A084VFD8|A0A084VFD8_ANOSI	***	Voltage-gated potassium channel		GO:0005216, GO:0005244, GO:0005249, GO:0005261, GO:0005267, GO:0006811, GO:0006813, GO:0008076, GO:0016020, GO:0034220, GO:0034702, GO:0051260, GO:0055085, GO:0071805
LOC_00000251-mRNA-1	tr|A0A8D8ANG7|A0A8D8ANG7_CULPI	***	Very-long-chain 3-oxoacyl-CoA reductase		GO:0016491
LOC_00000254-mRNA-1	tr|B0WBQ2|B0WBQ2_CULQU	***	Dynein regulatory complex protein 9		GO:0005929, GO:0031514
LOC_00000532-mRNA-4	tr|B0WQL4|B0WQL4_CULQU	***	Trehalose-6-phosphate synthase		GO:0003824, GO:0005991, GO:0005992, GO:0016758
LOC_00000532-mRNA-3	tr|B0WQL4|B0WQL4_CULQU	***	Trehalose-6-phosphate synthase		GO:0003824, GO:0005991, GO:0005992, GO:0016758
LOC_00000532-mRNA-2	tr|B0WQL4|B0WQL4_CULQU	***	Trehalose-6-phosphate synthase		GO:0003824, GO:0005991, GO:0005992, GO:0016758
LOC_00000532-mRNA-1	tr|B0WQL4|B0WQL4_CULQU	***	Trehalose-6-phosphate synthase		GO:0003824, GO:0005991, GO:0005992, GO:0016758
LOC_00000231-mRNA-1	tr|B0X146|B0X146_CULQU	***	Abc transporter		GO:0000166, GO:0005524, GO:0016020, GO:0016887, GO:0055085, GO:0140359
LOC_00000332-mRNA-1	tr|A0A8D8MF44|A0A8D8MF44_CULPI	***	Thioredoxin domain-containing protein 17		GO:0047134
LOC_00000175-mRNA-1	tr|B0WAX0|B0WAX0_CULQU	*-*	Odorant receptor		GO:0004984, GO:0005549, GO:0005886, GO:0007165, GO:0007608, GO:0016020, GO:0050896, GO:0050911
LOC_00000327-mRNA-1	sp|F1R237|TDRD6_DANRE	*-*	Tudor domain-containing 6		GO:0005515, GO:0005737, GO:0007281, GO:0007283, GO:0030154, GO:0030719, GO:0032019, GO:0033391, GO:0034587, GO:0043186, GO:0048477, GO:0060293, GO:0070925, GO:1903863, GO:1905879
LOC_00000327-mRNA-2	sp|F1R237|TDRD6_DANRE	*-*	Tudor domain-containing 6		GO:0005515, GO:0005737, GO:0007281, GO:0007283, GO:0030154, GO:0030719, GO:0032019, GO:0033391, GO:0034587, GO:0043186, GO:0048477, GO:0060293, GO:0070925, GO:1903863, GO:1905879
LOC_00000481-mRNA-1	tr|A0A8D8II13|A0A8D8II13_CULPI	***	Ribosome maturation protein SBDS		GO:0005634, GO:0005737, GO:0042254, GO:0042256
LOC_00000310-mRNA-4	sp|Q9DCT6|BAP18_MOUSE	*-*	Chromatin complexes subunit BAP18		GO:0003674, GO:0003677, GO:0005634, GO:0005654, GO:0005829, GO:0006325, GO:0008150, GO:0016589, GO:0042802, GO:0071339
LOC_00000310-mRNA-3	sp|Q9DCT6|BAP18_MOUSE	*-*	Chromatin complexes subunit BAP18		GO:0003674, GO:0003677, GO:0005634, GO:0005654, GO:0005829, GO:0006325, GO:0008150, GO:0016589, GO:0042802, GO:0071339
LOC_00000310-mRNA-2	tr|A0A8D8JZQ7|A0A8D8JZQ7_CULPI	***	Gastrula zinc finger protein xFG20-1		GO:0005634, GO:0008270, GO:0046872
LOC_00000310-mRNA-1	tr|A0A8D8JZQ7|A0A8D8JZQ7_CULPI	*-*	Gastrula zinc finger protein xFG20-1		GO:0005634, GO:0008270, GO:0046872
LOC_00000428-mRNA-1	tr|A0A8D8IFK5|A0A8D8IFK5_CULPI	***	(northern house mosquito) hypothetical protein		GO:0003677, GO:0043565
LOC_00000380-mRNA-2	tr|Q5TYE4|Q5TYE4_ANOGA	***	AGAP012674-PA		GO:0005615, GO:0016020, GO:0032504
LOC_00000380-mRNA-1	tr|Q5TVH4|Q5TVH4_ANOGA	***	AGAP009387-PA		GO:0016020
